"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11282","Verify Navigation Arrow: ""Purchase a Phone Number""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","10913","Click on ""MCP integration"" in block ""HOW IT WORKS"" displays a description of this function","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11266","Click on ""Products"" in header show drop list","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11381","Verify ""Voice AI Agents"" Video in ""OUR SOLUTIONS""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","1534","Verify AI Assistant Widget Opens via Green Button","Telnyx Voice AI Application Tests","2026-09-15","passed","2026-09-15","","","",""
"","11449","Verify Main Video Autoplay on Page Load","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","10912","Verify ""How It Works"" Block Animation on Scroll","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","13210","Main title change 3 times","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11199","Button ""Call your agent"" scroll to block ""HD Voice AI""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11332","Verify Copy Button in ""FOR DEVELOPERS"" Block","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","2549","Verify ""Ask AI"" Function via Footer GPT Icon","Telnyx Voice AI Application Tests","2026-09-15","passed","2026-09-15","","","",""
"","11151","Button ""Contact us"" open page with form ""Talk to an expert""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","10950","Promo field of the form registration shows after click on ""Apply a promo code""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11165","Correct fill registration form","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11349","Verify Code Change: ""Chat with Language Model""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11951","Verify Navigation to Dev Docs from ""FOR DEVELOPERS"" Block","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11384","Verify ""Native-Speech Pipeline"" Video in ""HOW IT WORKS""","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11185","Validation of the ""Talk to an expert"" phone field in the form with number","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11033","Button ""START BUILDING"" above the footer open page of registration","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
"","11082","Button ""Sign Up"" open page registration","Telnyx Voice AI Application Tests","2026-09-15","broken","2026-09-15","","","",""
